Model,P@5,R@5,NDCG@5,MRR@5,HR@5,P@10,R@10,NDCG@10,MRR@10,HR@10,P@20,R@20,NDCG@20,MRR@20,HR@20,AvgPopularity,ILD,Novelty,Users_eval,Coverage
Random,0.0026981450252951096,0.0006677839349769176,0.002086755203819378,0.003681843732433952,0.013490725126475547,0.003204047217537943,0.0016697022159382047,0.004340859611297021,0.014343264005995879,0.03204047217537943,0.0023608768971332206,0.0018473202178672268,0.002341270504371597,0.006110962373720871,0.047217537942664416,10.806070826306915,0.8389212781237062,14.27434959057887,593.0,0.11877828054298642
MostPopular,0.07858347386172006,0.03241133397403765,0.0879046402460815,0.16416526138279933,0.2630691399662732,0.06374367622259695,0.04965666922618313,0.08234420169747488,0.173972135228459,0.3372681281618887,0.05354131534569983,0.08034774086835553,0.0860427136924468,0.18099802788560693,0.44350758853288363,216.73760539629004,0.9523581352134137,8.571809435015954,593.0,0.010078157136980667
HighestRated,0.023608768971332208,0.007340474098310264,0.03075751744288853,0.07507026419336706,0.10118043844856661,0.020741989881956156,0.014941736118779051,0.029530471810263338,0.08371543670869136,0.163575042158516,0.024873524451939293,0.029123264130430197,0.035625236083846816,0.09163183188394763,0.2799325463743676,66.13878583473863,0.9730364687032224,10.760643766478742,593.0,0.004010695187165776
ContentBased,0.009797297297297298,0.0036591764575609293,0.010037248705143702,0.021480855855855855,0.04222972972972973,0.007601351351351352,0.006080014934221703,0.009338656989006938,0.02468897468897469,0.06587837837837837,0.005658783783783784,0.00742653502903477,0.008996318436956995,0.026076471142260617,0.08614864864864864,9.642736486486486,0.20050801022416787,14.641860159371378,592.0,0.3206499382969971
ItemItemCF,0.003372681281618887,0.0005751189658743206,0.003773183840689088,0.009246767847105116,0.016863406408094434,0.004384485666104553,0.000991279547861751,0.004394142646475437,0.011703337883776333,0.03709949409780776,0.004384485666104553,0.0023228833279826284,0.0045549848977486556,0.01342904902767385,0.06408094435075885,7.288026981450253,0.8151162906730669,13.567316655015384,593.0,0.05861785273549979
UserUserCF,0.008431703204047217,0.006044042715277621,0.009489333077940301,0.020460933108487914,0.04047217537942664,0.010286677908937607,0.016654549833071144,0.013807173910659845,0.02658596322171364,0.08768971332209106,0.010961214165261383,0.03325181129584306,0.02053855054351042,0.03156752623245087,0.163575042158516,29.2787521079258,0.8826063575584785,12.5882891309111,593.0,0.1558000822706705
MatrixFact,0.10320404721753795,0.04663296613449998,0.10997081841950507,0.20553681843732433,0.3676222596964587,0.09005059021922428,0.0855333513579828,0.11243612966385602,0.22292486415589285,0.4974704890387858,0.07892074198988196,0.14827511116341077,0.12845609691021534,0.23284464111606362,0.6374367622259697,126.26930860033728,0.925983367297645,9.554914836770063,593.0,0.06818181818181818
