,P@10,R@10,NDCG@10,MRR@10,HR@10,Coverage,Novelty,AvgPopularity,ILD,Users_eval
Random,0.003204047217537943,0.0016697022159382047,0.004340859611297021,0.014343264005995879,0.03204047217537943,0.11877828054298642,14.27434959057887,10.806070826306915,0.8389212781237062,593.0
MostPopular,0.06374367622259695,0.04965666922618313,0.08234420169747488,0.173972135228459,0.3372681281618887,0.010078157136980667,8.571809435015954,216.73760539629004,0.9523581352134137,593.0
HighestRated,0.020741989881956156,0.014941736118779051,0.029530471810263338,0.08371543670869136,0.163575042158516,0.004010695187165776,10.760643766478742,66.13878583473863,0.9730364687032224,593.0
ContentBased,0.007601351351351352,0.006080014934221703,0.009338656989006938,0.02468897468897469,0.06587837837837837,0.3206499382969971,14.641860159371378,9.642736486486486,0.20050801022416787,592.0
ItemItemCF,0.004384485666104553,0.000991279547861751,0.004394142646475437,0.011703337883776333,0.03709949409780776,0.05861785273549979,13.567316655015384,7.288026981450253,0.8151162906730669,593.0
UserUserCF,0.010286677908937607,0.016654549833071144,0.013807173910659845,0.02658596322171364,0.08768971332209106,0.1558000822706705,12.5882891309111,29.2787521079258,0.8826063575584785,593.0
MatrixFact,0.09005059021922428,0.0855333513579828,0.11243612966385602,0.22292486415589285,0.4974704890387858,0.06818181818181818,9.554914836770063,126.26930860033728,0.925983367297645,593.0
